epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.8177,1.78347,3.73639,1.1149,0.01721,0.37098,0.0691,0.02578,1.71697,3.76235,1.03582,0.00010003,0.00010003,0.00010003
2,163.518,1.51714,3.10216,1.00395,0.01729,0.32175,0.14126,0.04485,2.08396,3.80018,1.18757,0.000212228,0.000212228,0.000212228
3,241.513,1.56545,2.32819,1.02999,0.01926,0.38213,0.19056,0.06736,1.64253,3.53335,1.03176,0.000322162,0.000322162,0.000322162
4,321.306,1.50609,1.75013,0.99409,0.0231,0.50058,0.23658,0.10762,1.43201,3.30248,0.96369,0.000429833,0.000429833,0.000429833
5,400.95,1.51994,1.47696,1.00575,0.02298,0.52003,0.20954,0.09601,1.40163,3.18034,0.96088,0.000535241,0.000535241,0.000535241
6,481.744,1.4358,1.19911,0.98398,0.02499,0.46358,0.18854,0.05822,2.25526,3.17335,1.21797,0.000638384,0.000638384,0.000638384
7,572.9,1.5155,1.11995,0.99422,0.0287,0.4646,0.23368,0.12728,1.36722,2.8685,0.9506,0.000739265,0.000739265,0.000739265
8,651.181,1.45684,1.13478,0.98195,0.96829,0.1943,0.29386,0.15156,1.4687,2.53018,0.9793,0.000837881,0.000837881,0.000837881
9,728.214,1.3655,0.99906,0.99815,0.99141,0.14034,0.31021,0.15597,1.46078,2.31938,0.97915,0.000934234,0.000934234,0.000934234
10,805.404,1.37891,0.99906,0.98979,0.99648,0.17424,0.32196,0.18101,1.30562,1.99111,0.9485,0.00102832,0.00102832,0.00102832
11,881.753,1.40779,0.98218,0.98022,0.97999,0.2907,0.33757,0.18326,1.47674,1.72239,1.00044,0.00112015,0.00112015,0.00112015
12,958.775,1.34105,0.9341,0.97154,0.9792,0.30691,0.34896,0.21841,1.25571,1.34838,0.93445,0.00120971,0.00120971,0.00120971
13,1036.46,1.37161,0.96225,0.99423,0.91371,0.30548,0.57543,0.28791,1.79126,1.42512,1.10314,0.00125923,0.00125923,0.00125923
14,1113.25,1.38233,0.92649,0.98435,0.86069,0.56149,0.70097,0.40686,1.53715,1.2048,1.05988,0.00124509,0.00124509,0.00124509
